casualty_class,gender,age,severe,pedestrian_location,pedestrian_movement,travel,year
pedestrian,male,64,False,Not on Crossing,Drivers O/Side,bicycle,2006
passenger,female,29,False,N/A,N/A,car,2009
passenger,male,67,False,N/A,N/A,car,2013
passenger,male,35,False,N/A,N/A,pedestrian,2012
pedestrian,male,Unknown,False,Not on Crossing,Drivers N/Side,bicycle,2011
passenger,female,26,False,N/A,N/A,pedestrian,2009
passenger,female,40,False,N/A,N/A,pedestrian,2008
passenger,female,47,False,N/A,N/A,car,2008
passenger,female,40,False,N/A,N/A,pedestrian,2007
pedestrian,male,20,False,Not on Crossing,Drivers N/Side,bicycle,2011
passenger,female,55,False,N/A,N/A,car,2011
passenger,female,29,False,N/A,N/A,car,2013
passenger,male,33,False,N/A,N/A,car,2008
passenger,female,39,False,N/A,N/A,car,2013
passenger,female,Unknown,False,N/A,N/A,car,2013
passenger,female,19,False,N/A,N/A,motorbike,2012
driver,male,Unknown,False,N/A,N/A,car,2005
pedestrian,male,24,True,Close to Crossing,Drivers N/Side Msk,bicycle,2014
passenger,male,31,False,N/A,N/A,motorbike,2009
passenger,male,31,False,N/A,N/A,car,2014
driver,male,32,False,N/A,N/A,car,2012
pedestrian,female,56,False,Not on Crossing,Drivers O/Side,bicycle,2012
driver,male,7,False,N/A,N/A,car,2010
passenger,male,Unknown,False,N/A,N/A,car,2012
passenger,female,27,True,N/A,N/A,motorbike,2007
driver,male,20,False,N/A,N/A,taxi,2008
passenger,female,25,False,N/A,N/A,pedestrian,2014
driver,female,17,False,N/A,N/A,other,2011
pedestrian,female,10,False,Close to Crossing,Drivers N/Side,bicycle,2012
passenger,male,32,True,N/A,N/A,car,2008
driver,male,19,True,N/A,N/A,car,2007
driver,female,23,True,N/A,N/A,car,2006
passenger,male,34,False,N/A,N/A,car,2008
passenger,male,35,False,N/A,N/A,car,2008
driver,male,34,False,N/A,N/A,car,2011
pedestrian,female,35,True,Not on Crossing,Drivers N/Side,bicycle,2005
passenger,male,35,False,N/A,N/A,car,2007
passenger,male,54,False,N/A,N/A,pedestrian,2011
passenger,female,18,False,N/A,N/A,motorbike,2013
passenger,female,44,False,N/A,N/A,car,2008
driver,male,25,False,N/A,N/A,car,2010
pedestrian,female,24,True,Not on Crossing,Drivers O/Side,bicycle,2009
passenger,female,16,False,N/A,N/A,motorbike,2014
passenger,female,24,False,N/A,N/A,motorbike,2014
passenger,female,Unknown,False,N/A,N/A,pedestrian,2012
passenger,female,46,False,N/A,N/A,pedestrian,2009
passenger,male,29,False,N/A,N/A,pedestrian,2005
passenger,female,26,False,N/A,N/A,motorbike,2005
passenger,female,28,False,N/A,N/A,motorbike,2010
pedestrian,female,36,True,Footpath,Unknown Or Other,bicycle,2007
driver,male,18,False,N/A,N/A,car,2006
driver,female,14,False,N/A,N/A,car,2008
passenger,female,41,False,N/A,N/A,motorbike,2014
passenger,male,37,False,N/A,N/A,car,2005
pedestrian,female,50,False,Footpath,Unknown Or Other,bicycle,2008
passenger,female,42,False,N/A,N/A,car,2011
passenger,female,63,False,N/A,N/A,car,2006
driver,male,24,False,N/A,N/A,car,2009
passenger,female,34,False,N/A,N/A,car,2010
pedestrian,female,55,False,Unknown,Drivers O/Side,bicycle,2010
passenger,female,Unknown,False,N/A,N/A,motorbike,2005
passenger,male,34,False,N/A,N/A,car,2006
passenger,female,25,False,N/A,N/A,car,2008
pedestrian,male,23,False,Pedestrian Crossing,Drivers N/Side,bicycle,2005
passenger,female,38,False,N/A,N/A,car,2006
passenger,female,19,False,N/A,N/A,car,2012
pedestrian,female,30,False,Not on Crossing,Unknown Or Other,bicycle,2012
passenger,male,29,True,N/A,N/A,pedestrian,2009
pedestrian,male,24,False,Not on Crossing,Drivers O/Side,bicycle,2014
passenger,female,17,False,N/A,N/A,motorbike,2006
driver,female,14,False,N/A,N/A,car,2009
driver,male,31,False,N/A,N/A,car,2009
passenger,female,39,True,N/A,N/A,motorbike,2009
passenger,female,28,False,N/A,N/A,motorbike,2009
passenger,male,28,False,N/A,N/A,pedestrian,2013
passenger,female,27,False,N/A,N/A,pedestrian,2009
passenger,female,39,False,N/A,N/A,pedestrian,2008
passenger,female,28,False,N/A,N/A,car,2011
pedestrian,female,10,False,Pedestrian Crossing,Drivers N/Side,bicycle,2006
passenger,male,19,False,N/A,N/A,car,2008
driver,female,Unknown,False,N/A,N/A,car,2008
passenger,male,16,False,N/A,N/A,pedestrian,2010
passenger,female,32,False,N/A,N/A,car,2006
driver,male,10,True,N/A,N/A,car,2011
passenger,female,18,False,N/A,N/A,motorbike,2014
passenger,female,22,False,N/A,N/A,car,2013
pedestrian,male,10,False,Not on Crossing,Drivers O/Side,bicycle,2009
pedestrian,female,9,False,In road,Unknown Or Other,bicycle,2005
passenger,female,Unknown,False,N/A,N/A,car,2008
passenger,female,42,False,N/A,N/A,pedestrian,2013
passenger,female,34,True,N/A,N/A,taxi,2010
driver,male,28,False,N/A,N/A,motorbike,2012
passenger,female,43,False,N/A,N/A,car,2005
passenger,female,44,False,N/A,N/A,car,2010
driver,male,27,False,N/A,N/A,car,2011
passenger,female,76,False,N/A,N/A,car,2006
driver,female,2,False,N/A,N/A,car,2005
pedestrian,female,42,False,Not on Crossing,Drivers N/Side,bicycle,2007
driver,female,36,False,N/A,N/A,bus,2011
passenger,female,54,False,N/A,N/A,motorbike,2008
driver,female,31,False,N/A,N/A,bus,2005
passenger,female,28,False,N/A,N/A,motorbike,2012
passenger,female,53,False,N/A,N/A,car,2014
passenger,female,29,False,N/A,N/A,motorbike,2011
passenger,female,25,False,N/A,N/A,motorbike,2010
passenger,female,50,False,N/A,N/A,motorbike,2014
driver,male,23,False,N/A,N/A,motorbike,2008
pedestrian,female,19,False,Not on Crossing,Drivers N/Side,bicycle,2013
passenger,female,47,False,N/A,N/A,car,2008
passenger,female,38,True,N/A,N/A,motorbike,2013
passenger,female,27,False,N/A,N/A,car,2014
driver,female,24,False,N/A,N/A,car,2010
driver,male,3,False,N/A,N/A,bus,2011
pedestrian,male,55,False,Not on Crossing,Drivers N/Side Msk,bicycle,2014
passenger,female,32,False,N/A,N/A,car,2010
driver,male,5,False,N/A,N/A,bus,2013
pedestrian,female,Unknown,False,Pedestrian Crossing,Drivers O/Side,bicycle,2007
passenger,male,33,False,N/A,N/A,car,2010
passenger,male,29,False,N/A,N/A,car,2005
pedestrian,female,30,False,In road,Unknown Or Other,bicycle,2008
passenger,male,73,False,N/A,N/A,car,2008
passenger,male,57,False,N/A,N/A,car,2008
pedestrian,female,5,False,Pedestrian Crossing,Drivers N/Side,bicycle,2013
passenger,male,22,False,N/A,N/A,car,2011
passenger,male,47,False,N/A,N/A,car,2012
passenger,female,23,False,N/A,N/A,motorbike,2013
passenger,male,25,False,N/A,N/A,car,2014
passenger,female,20,False,N/A,N/A,motorbike,2013
passenger,male,83,False,N/A,N/A,car,2007
passenger,male,28,False,N/A,N/A,motorbike,2012
passenger,female,37,False,N/A,N/A,motorbike,2014
passenger,female,41,False,N/A,N/A,car,2013
passenger,female,31,True,N/A,N/A,motorbike,2005
passenger,female,24,False,N/A,N/A,motorbike,2008
passenger,male,40,False,N/A,N/A,car,2008
passenger,male,63,True,N/A,N/A,car,2010
passenger,female,28,False,N/A,N/A,motorbike,2009
pedestrian,female,23,False,Not on Crossing,Drivers N/Side,bicycle,2012
passenger,male,47,False,N/A,N/A,car,2012
driver,female,60,False,N/A,N/A,bus,2005
pedestrian,female,37,False,Not on Crossing,Drivers N/Side,bicycle,2007
pedestrian,male,41,False,Unknown,Unknown Or Other,bicycle,2012
passenger,female,37,False,N/A,N/A,car,2009
passenger,male,27,False,N/A,N/A,car,2007
passenger,female,37,False,N/A,N/A,car,2008
pedestrian,female,6,False,Unknown,Drivers O/Side,bicycle,2006
passenger,female,19,False,N/A,N/A,pedestrian,2014
pedestrian,female,24,False,Pedestrian Crossing,Drivers N/Side Msk,bicycle,2009
pedestrian,female,Unknown,False,Not on Crossing,Drivers N/Side Msk,bicycle,2006
passenger,female,29,False,N/A,N/A,other,2009
passenger,male,44,True,N/A,N/A,car,2005
passenger,female,Unknown,False,N/A,N/A,car,2010
passenger,female,30,False,N/A,N/A,motorbike,2007
passenger,female,24,False,N/A,N/A,pedestrian,2011
passenger,female,30,False,N/A,N/A,pedestrian,2005
pedestrian,male,49,False,Not on Crossing,Drivers N/Side Msk,bicycle,2012
passenger,female,27,False,N/A,N/A,car,2012
pedestrian,female,60,False,Not on Crossing,Drivers N/Side,bicycle,2011
passenger,female,17,False,N/A,N/A,motorbike,2006
passenger,male,28,False,N/A,N/A,pedestrian,2005
passenger,female,43,False,N/A,N/A,other,2007
passenger,male,20,False,N/A,N/A,car,2013
driver,male,50,False,N/A,N/A,car,2008
pedestrian,male,28,False,Pedestrian Crossing,Drivers N/Side,bicycle,2008
passenger,male,39,False,N/A,N/A,pedestrian,2012
pedestrian,male,25,False,In road,In Rd Not Crossing,bicycle,2014
pedestrian,male,68,False,Not on Crossing,Drivers N/Side,bicycle,2010
passenger,male,28,True,N/A,N/A,car,2006
passenger,female,Unknown,False,N/A,N/A,car,2005
passenger,female,57,False,N/A,N/A,car,2006
driver,female,33,True,N/A,N/A,other,2010
passenger,male,37,False,N/A,N/A,car,2008
pedestrian,female,16,False,Unknown,Unknown Or Other,bicycle,2007
passenger,female,44,False,N/A,N/A,motorbike,2009
passenger,female,28,False,N/A,N/A,motorbike,2005
passenger,female,36,False,N/A,N/A,motorbike,2005
driver,female,47,False,N/A,N/A,motorbike,2010
passenger,female,23,True,N/A,N/A,motorbike,2005
passenger,female,Unknown,False,N/A,N/A,pedestrian,2011
passenger,female,30,False,N/A,N/A,motorbike,2005
pedestrian,male,28,True,Close to Crossing,Drivers O/Side,bicycle,2006
driver,male,43,False,N/A,N/A,bus,2012
passenger,female,29,False,N/A,N/A,car,2007
pedestrian,male,11,False,Not on Crossing,Drivers N/Side,bicycle,2013
passenger,female,26,False,N/A,N/A,pedestrian,2013
passenger,female,31,False,N/A,N/A,car,2007
passenger,female,Unknown,True,N/A,N/A,pedestrian,2013
passenger,female,44,False,N/A,N/A,pedestrian,2006
pedestrian,male,19,False,Pedestrian Crossing,Drivers N/Side,bicycle,2005
passenger,female,34,False,N/A,N/A,motorbike,2007
pedestrian,female,27,False,Not on Crossing,Drivers N/Side,bicycle,2011
passenger,female,15,False,N/A,N/A,pedestrian,2006
passenger,female,33,False,N/A,N/A,pedestrian,2009
passenger,female,29,False,N/A,N/A,car,2008
passenger,female,19,False,N/A,N/A,motorbike,2008
passenger,female,35,False,N/A,N/A,car,2008
passenger,female,16,False,N/A,N/A,pedestrian,2012
pedestrian,male,42,False,Not on Crossing,Drivers N/Side,bicycle,2007
passenger,female,59,False,N/A,N/A,motorbike,2008
passenger,male,60,False,N/A,N/A,car,2012
passenger,female,60,False,N/A,N/A,motorbike,2014
passenger,female,23,False,N/A,N/A,motorbike,2012
passenger,female,40,False,N/A,N/A,car,2013
passenger,female,42,False,N/A,N/A,pedestrian,2011
passenger,female,33,False,N/A,N/A,pedestrian,2006
passenger,male,55,False,N/A,N/A,motorbike,2011
passenger,female,67,True,N/A,N/A,car,2012
passenger,female,28,False,N/A,N/A,pedestrian,2005
passenger,female,35,True,N/A,N/A,motorbike,2008
pedestrian,female,53,False,Not on Crossing,Drivers O/Side,bicycle,2009
passenger,female,20,False,N/A,N/A,motorbike,2008
driver,male,72,False,N/A,N/A,bus,2010
pedestrian,male,18,False,Close to Crossing,Unknown Or Other,bicycle,2012
passenger,female,51,False,N/A,N/A,motorbike,2005
passenger,male,31,False,N/A,N/A,car,2014
passenger,male,44,False,N/A,N/A,car,2010
passenger,female,30,False,N/A,N/A,car,2007
passenger,female,28,False,N/A,N/A,pedestrian,2011
passenger,male,21,False,N/A,N/A,car,2010
pedestrian,female,14,False,Not on Crossing,Drivers N/Side,bicycle,2011
passenger,female,45,False,N/A,N/A,motorbike,2010
driver,male,26,False,N/A,N/A,other,2007
pedestrian,male,67,False,Not on Crossing,Drivers N/Side,bicycle,2014
passenger,female,43,False,N/A,N/A,motorbike,2007
passenger,male,47,False,N/A,N/A,car,2005
passenger,female,20,False,N/A,N/A,pedestrian,2014
pedestrian,female,Unknown,False,In road,Unknown Or Other,bicycle,2009
driver,male,27,False,N/A,N/A,car,2008
pedestrian,female,8,False,Not on Crossing,Unknown Or Other,bicycle,2012
passenger,female,Unknown,False,N/A,N/A,pedestrian,2007
passenger,female,26,False,N/A,N/A,motorbike,2005
passenger,male,43,False,N/A,N/A,car,2009
passenger,male,45,False,N/A,N/A,car,2011
passenger,female,40,True,N/A,N/A,car,2013
passenger,female,23,False,N/A,N/A,motorbike,2012
passenger,female,41,False,N/A,N/A,pedestrian,2010
passenger,male,Unknown,False,N/A,N/A,car,2008
passenger,male,42,False,N/A,N/A,car,2006
passenger,female,50,False,N/A,N/A,pedestrian,2009
passenger,female,16,False,N/A,N/A,motorbike,2009
driver,female,25,False,N/A,N/A,car,2010
driver,male,19,False,N/A,N/A,car,2012
driver,male,35,False,N/A,N/A,car,2014
driver,male,21,False,N/A,N/A,car,2011
driver,male,18,True,N/A,N/A,car,2007
driver,female,6,False,N/A,N/A,car,2014
passenger,female,36,False,N/A,N/A,car,2005
pedestrian,male,13,False,Close to Crossing,Drivers O/Side,bicycle,2010
pedestrian,female,Unknown,False,In road,In Rd Not Crossing,bicycle,2008
driver,male,24,False,N/A,N/A,car,2013
passenger,female,30,False,N/A,N/A,taxi,2009
driver,male,63,False,N/A,N/A,bus,2010
passenger,female,54,False,N/A,N/A,car,2009
passenger,female,32,False,N/A,N/A,motorbike,2009
passenger,female,46,False,N/A,N/A,other,2010
pedestrian,male,78,True,Not on Crossing,Drivers N/Side,bicycle,2014
passenger,female,24,False,N/A,N/A,pedestrian,2009
pedestrian,female,80,False,Close to Crossing,Drivers N/Side,bicycle,2005
passenger,female,30,False,N/A,N/A,taxi,2007
passenger,male,27,False,N/A,N/A,car,2010
passenger,male,23,True,N/A,N/A,pedestrian,2011
passenger,female,33,True,N/A,N/A,pedestrian,2011
passenger,male,18,False,N/A,N/A,car,2006
pedestrian,female,84,True,Close to Crossing,Drivers O/Side,bicycle,2014
passenger,female,18,False,N/A,N/A,car,2006
driver,male,56,False,N/A,N/A,bus,2008
passenger,female,51,False,N/A,N/A,car,2010
passenger,female,25,False,N/A,N/A,motorbike,2005
passenger,female,39,False,N/A,N/A,motorbike,2005
driver,female,33,False,N/A,N/A,car,2014
driver,female,21,False,N/A,N/A,bus,2011
passenger,female,37,False,N/A,N/A,motorbike,2011
driver,male,22,False,N/A,N/A,car,2005
passenger,female,Unknown,False,N/A,N/A,motorbike,2006
passenger,male,24,False,N/A,N/A,car,2007
pedestrian,female,18,False,Not on Crossing,Drivers N/Side,bicycle,2013
driver,male,22,False,N/A,N/A,car,2006
passenger,male,36,False,N/A,N/A,car,2013
passenger,female,29,False,N/A,N/A,motorbike,2012
passenger,male,28,False,N/A,N/A,pedestrian,2014
passenger,male,25,False,N/A,N/A,car,2005
driver,male,75,False,N/A,N/A,bus,2005
passenger,female,34,True,N/A,N/A,motorbike,2008
passenger,female,46,False,N/A,N/A,other,2014
pedestrian,male,Unknown,False,Footpath,Unknown Or Other,bicycle,2010
pedestrian,female,33,True,Close to Crossing,Drivers N/Side Msk,bicycle,2014
driver,male,21,False,N/A,N/A,car,2007
driver,female,22,False,N/A,N/A,car,2012
driver,female,5,False,N/A,N/A,bus,2009
driver,female,26,False,N/A,N/A,car,2009
driver,male,33,False,N/A,N/A,motorbike,2012
passenger,female,35,False,N/A,N/A,motorbike,2006
passenger,female,22,False,N/A,N/A,car,2005
driver,male,65,False,N/A,N/A,bus,2011
passenger,female,26,False,N/A,N/A,motorbike,2006
passenger,male,66,False,N/A,N/A,car,2010
driver,male,51,False,N/A,N/A,car,2011
passenger,female,58,False,N/A,N/A,motorbike,2011
pedestrian,female,19,False,Close to Crossing,Drivers N/Side,bicycle,2013
pedestrian,female,26,False,In road,In Rd Not Crossing,bicycle,2014
pedestrian,female,16,False,Close to Crossing,Drivers N/Side Msk,bicycle,2008
pedestrian,female,12,True,Not on Crossing,Drivers O/Side Msk,bicycle,2009
passenger,female,22,False,N/A,N/A,car,2013
pedestrian,male,Unknown,False,Not on Crossing,Drivers N/Side,bicycle,2005
passenger,female,17,True,N/A,N/A,motorbike,2011
passenger,male,43,False,N/A,N/A,car,2005
passenger,female,68,False,N/A,N/A,pedestrian,2006
driver,female,Unknown,False,N/A,N/A,car,2007
passenger,male,23,False,N/A,N/A,car,2009
driver,male,72,False,N/A,N/A,bus,2012
passenger,female,32,False,N/A,N/A,pedestrian,2011
pedestrian,male,13,False,Not on Crossing,Drivers O/Side,bicycle,2005
driver,male,9,False,N/A,N/A,car,2014
pedestrian,male,Unknown,False,Pedestrian Crossing,Drivers O/Side,bicycle,2008
passenger,female,54,False,N/A,N/A,other,2008
passenger,female,28,False,N/A,N/A,motorbike,2010
passenger,male,22,False,N/A,N/A,car,2005
pedestrian,female,16,True,Not on Crossing,Drivers N/Side Msk,bicycle,2011
passenger,male,26,False,N/A,N/A,motorbike,2005
passenger,female,26,False,N/A,N/A,motorbike,2012
passenger,female,58,False,N/A,N/A,car,2006
passenger,male,46,False,N/A,N/A,car,2012
passenger,female,36,False,N/A,N/A,car,2013
pedestrian,male,12,False,Not on Crossing,Drivers N/Side,bicycle,2011
pedestrian,male,Unknown,False,Not on Crossing,Drivers N/Side,bicycle,2013
passenger,female,16,True,N/A,N/A,car,2009
driver,female,21,False,N/A,N/A,car,2007
pedestrian,male,35,False,Pedestrian Crossing,Drivers N/Side,bicycle,2008
pedestrian,female,8,True,Not on Crossing,Drivers N/Side,bicycle,2012
passenger,male,46,False,N/A,N/A,pedestrian,2014
pedestrian,male,26,False,Pedestrian Crossing,Drivers O/Side,bicycle,2008
passenger,male,53,False,N/A,N/A,car,2008
passenger,female,60,True,N/A,N/A,car,2009
pedestrian,female,58,False,In road,Unknown Or Other,bicycle,2006
passenger,female,53,False,N/A,N/A,taxi,2012
driver,male,Unknown,False,N/A,N/A,bus,2008
passenger,male,22,False,N/A,N/A,motorbike,2008
passenger,female,44,False,N/A,N/A,car,2007
passenger,male,36,False,N/A,N/A,car,2012
pedestrian,female,7,False,Not on Crossing,Drivers O/Side Msk,bicycle,2005
driver,female,16,False,N/A,N/A,car,2005
passenger,female,42,True,N/A,N/A,pedestrian,2011
pedestrian,male,84,False,Pedestrian Crossing,Drivers O/Side,bicycle,2010
pedestrian,male,Unknown,False,Not on Crossing,Drivers N/Side Msk,bicycle,2009
driver,male,55,False,N/A,N/A,car,2012
driver,male,Unknown,False,N/A,N/A,car,2006
passenger,female,32,False,N/A,N/A,pedestrian,2009
passenger,female,37,False,N/A,N/A,motorbike,2010
pedestrian,male,30,False,Not on Crossing,Drivers O/Side,bicycle,2005
driver,male,8,False,N/A,N/A,car,2007
passenger,female,37,False,N/A,N/A,car,2011
driver,male,17,False,N/A,N/A,car,2010
passenger,female,31,False,N/A,N/A,pedestrian,2009
driver,female,24,False,N/A,N/A,car,2013
passenger,female,34,True,N/A,N/A,pedestrian,2008
passenger,female,49,False,N/A,N/A,car,2007
pedestrian,male,13,False,Close to Crossing,Drivers N/Side,bicycle,2005
passenger,female,35,False,N/A,N/A,car,2013
passenger,female,27,False,N/A,N/A,pedestrian,2013
passenger,male,30,False,N/A,N/A,pedestrian,2006
passenger,female,29,False,N/A,N/A,car,2005
passenger,female,32,False,N/A,N/A,motorbike,2012
driver,female,Unknown,False,N/A,N/A,bus,2007
pedestrian,male,75,False,In road,In Rd Not Crossing,bicycle,2013
pedestrian,female,8,False,In road,In Rd Not Crossing,bicycle,2009
passenger,female,27,False,N/A,N/A,motorbike,2007
passenger,male,Unknown,False,N/A,N/A,car,2013
passenger,female,43,False,N/A,N/A,car,2013
passenger,female,26,False,N/A,N/A,pedestrian,2013
passenger,female,61,False,N/A,N/A,car,2013
driver,female,Unknown,False,N/A,N/A,car,2008
passenger,female,22,False,N/A,N/A,pedestrian,2005
passenger,female,35,False,N/A,N/A,pedestrian,2005
driver,female,22,False,N/A,N/A,car,2005
passenger,male,25,False,N/A,N/A,car,2006
pedestrian,female,19,False,Not on Crossing,Drivers O/Side,bicycle,2007
passenger,female,63,False,N/A,N/A,car,2011
pedestrian,female,23,True,In road,Unknown Or Other,bicycle,2006
pedestrian,male,57,False,Pedestrian Crossing,Drivers O/Side,bicycle,2008
pedestrian,male,52,False,In road,In Rd Not Crossing Msk,bicycle,2009
passenger,male,37,False,N/A,N/A,car,2008
passenger,male,82,False,N/A,N/A,car,2013
pedestrian,female,64,False,Footpath,Unknown Or Other,bicycle,2014
driver,male,19,True,N/A,N/A,car,2005
pedestrian,female,38,False,Not on Crossing,Drivers O/Side Msk,bicycle,2010
passenger,female,27,False,N/A,N/A,pedestrian,2005
passenger,male,30,False,N/A,N/A,car,2010
passenger,female,36,False,N/A,N/A,pedestrian,2010
pedestrian,female,19,False,In road,Unknown Or Other,bicycle,2010
driver,female,8,False,N/A,N/A,car,2010
passenger,female,26,False,N/A,N/A,car,2008
pedestrian,female,41,False,Footpath,Unknown Or Other,bicycle,2014
pedestrian,male,53,False,Pedestrian Crossing,Drivers N/Side,bicycle,2013
passenger,female,54,False,N/A,N/A,car,2014
pedestrian,female,5,False,Pedestrian Crossing,Drivers O/Side,bicycle,2010
driver,male,39,False,N/A,N/A,car,2009
driver,female,63,False,N/A,N/A,bus,2012
pedestrian,female,65,False,Unknown,Unknown Or Other,bicycle,2006
passenger,female,35,False,N/A,N/A,car,2011
passenger,female,26,False,N/A,N/A,car,2014
driver,male,12,False,N/A,N/A,car,2006
pedestrian,male,12,False,Not on Crossing,Drivers O/Side,bicycle,2013
pedestrian,male,36,False,In road,Drivers O/Side Msk,bicycle,2007
passenger,female,35,False,N/A,N/A,motorbike,2006
driver,female,13,False,N/A,N/A,car,2010
passenger,female,24,False,N/A,N/A,taxi,2008
